learning_rate,n_epochs,accuracy,batch_size,test_samples,optimizer:gradient_descent,optimizer:adadelta,optimizer:adam,train_samples,time
0.1,50,0.8926,128,10000,False,True,False,55000,24.309035301208496
0.1,50,0.8472,128,10000,False,False,True,55000,23.672452926635742
0.1,100,0.8917,128,10000,True,False,False,55000,42.68628239631653
0.1,100,0.8942,128,10000,False,True,False,55000,44.41773724555969
0.1,100,0.8386,128,10000,False,False,True,55000,46.40747809410095
1,10,0.8492,128,10000,True,False,False,55000,5.774227619171143
1,10,0.8934,128,10000,False,True,False,55000,5.931757688522339
1,10,0.8249,128,10000,False,False,True,55000,5.966211318969727
1,50,0.8549,128,10000,True,False,False,55000,23.386922597885132
1,50,0.8948,128,10000,False,True,False,55000,24.179267644882202
1,50,0.8412,128,10000,False,False,True,55000,23.68363308906555
1,100,0.8538,128,10000,True,False,False,55000,43.984177350997925
1,100,0.8944,128,10000,False,True,False,55000,44.82679772377014
1,100,0.8304,128,10000,False,False,True,55000,46.809919357299805
